kepid,kepoi_name,kepler_name,koi_disposition,adopted_Teff,Prot,adopted_rp,adopted_period,flag_dr3_ruwe_outlier,flag_koi_is_grazing,flag_gyro_quality,flag_planet_quality,has_hires,t_gyro,t_li,Li_EW,comment,are_gyro_and_li_consistent
7582689,K03097.02,Kepler-431 b,CONFIRMED,6259,16.16,0.93,6.80,0,1,2055,4,1,--,$671^{+1092}_{-458}$,$80\pm3$,,--
7582689,K03097.03,Kepler-431 c,CONFIRMED,6259,16.16,0.93,8.70,0,1,2055,4,1,--,$671^{+1092}_{-458}$,$80\pm3$,,--
7582689,K03097.01,Kepler-431 d,CONFIRMED,6259,16.16,1.08,11.92,0,1,2055,4,1,--,$671^{+1092}_{-458}$,$80\pm3$,,--
6862721,K01982.01,Kepler-1781 b,CONFIRMED,5363,9.17,1.95,4.89,0,0,0,0,0,$708^{+80}_{-78}$,--,--,,--
6779726,K03375.01,Kepler-1918 b,CONFIRMED,5522,9.11,2.19,47.06,0,0,0,0,0,$722^{+75}_{-71}$,--,--,,--
9471268,K01835.02,Kepler-326 b,CONFIRMED,5142,9.56,1.25,2.25,1,0,640,0,1,$724^{+108}_{-103}$,$> 506$,$8\pm8$,,Yes
9471268,K01835.01,Kepler-326 c,CONFIRMED,5142,9.56,1.38,4.58,1,0,640,0,1,$724^{+108}_{-103}$,$> 506$,$8\pm8$,,Yes
9471268,K01835.03,Kepler-326 d,CONFIRMED,5142,9.56,1.31,6.77,1,0,640,0,1,$724^{+108}_{-103}$,$> 506$,$8\pm8$,,Yes
10676014,K01797.01,Kepler-954 b,CONFIRMED,4736,10.68,2.16,16.78,0,0,0,0,1,$726^{+220}_{-183}$,$> 270$,$4\pm11$,\checkmark,Yes
8832512,K01821.01,Kepler-963 b,CONFIRMED,5383,9.42,2.64,9.98,0,0,2048,0,0,$748^{+79}_{-78}$,--,--,,--
2581316,K03681.01,Kepler-1514 b,CONFIRMED,5852,7.87,11.94,217.83,0,0,516,0,1,$751^{+365}_{-137}$,$1302^{+1622}_{-754}$,$69\pm2$,,Yes
2581316,K03681.02,Kepler-1514 c,CONFIRMED,5852,7.87,1.17,10.51,0,1,516,4,1,$751^{+365}_{-137}$,$1302^{+1622}_{-754}$,$69\pm2$,,Yes
5531694,K00647.01,Kepler-634 b,CONFIRMED,6272,--,2.13,5.17,--,0,7,0,1,--,$768^{+1250}_{-527}$,$77\pm3$,,--
9634821,K02037.01,Kepler-1995 b,CONFIRMED,4746,10.80,3.46,73.76,0,0,2048,0,1,$770^{+211}_{-193}$,$> 223$,$9\pm21$,\checkmark,Yes
11551692,K01781.02,Kepler-411 b,CONFIRMED,4920,10.32,2.20,3.01,0,1,0,4,1,$775^{+163}_{-166}$,$> 396$,$4\pm3$,,Yes
11551692,K01781.01,Kepler-411 c,CONFIRMED,4920,10.32,3.47,7.83,0,0,0,0,1,$775^{+163}_{-166}$,$> 396$,$4\pm3$,\checkmark,Yes
11551692,K01781.03,Kepler-411 d,CONFIRMED,4920,10.32,3.46,58.02,0,1,0,4,1,$775^{+163}_{-166}$,$> 396$,$4\pm3$,,Yes
11446443,K00001.01,Kepler-1 b,CONFIRMED,5730,--,14.04,2.47,--,1,0,4,1,--,$785^{+845}_{-419}$,$81\pm3$,,No
7447200,K00676.02,Kepler-210 b,CONFIRMED,4417,12.10,2.86,2.45,0,0,0,0,1,$824^{+267}_{-249}$,$> 166$,$9\pm14$,\checkmark,Yes
7447200,K00676.01,Kepler-210 c,CONFIRMED,4417,12.10,4.08,7.97,0,0,0,0,1,$824^{+267}_{-249}$,$> 166$,$9\pm14$,\checkmark,Yes
9635606,K02535.01,Kepler-1853 b,CONFIRMED,4781,10.91,1.56,48.89,0,1,0,4,1,$828^{+194}_{-198}$,$> 305$,$3\pm8$,,Yes
7286173,K01862.01,Kepler-986 b,CONFIRMED,5679,9.55,2.28,56.43,0,0,0,0,1,$831^{+111}_{-86}$,$> 812$,$7\pm5$,\checkmark,Yes
5375194,K01825.01,Kepler-964 b,CONFIRMED,5211,10.10,2.10,13.52,0,0,0,0,1,$839^{+96}_{-101}$,$> 561$,$4\pm12$,\checkmark,Yes
10489206,K00251.01,Kepler-125 b,CONFIRMED,3896,14.39,2.64,4.16,0,0,0,0,1,$839^{+401}_{-382}$,$> 76$,$19\pm28$,\checkmark,Yes
10489206,K00251.02,Kepler-125 c,CONFIRMED,3896,14.39,0.85,5.77,0,0,0,0,1,$839^{+401}_{-382}$,$> 76$,$19\pm28$,\checkmark,Yes
9527334,K00049.01,Kepler-461 b,CONFIRMED,5839,8.54,3.77,8.31,0,0,2560,0,1,$851^{+406}_{-157}$,$> 620$,$7\pm13$,,Yes
7826620,K04268.01,Kepler-1579 b,CONFIRMED,4215,12.88,0.59,0.85,1,0,128,0,1,$852^{+307}_{-305}$,$> 115$,$17\pm20$,,Yes
9351316,K02078.01,Kepler-1086 b,CONFIRMED,4332,12.53,2.05,18.78,0,0,0,0,1,$857^{+278}_{-268}$,$> 144$,$10\pm22$,\checkmark,Yes
9351316,K02078.02,Kepler-1086 c,CONFIRMED,4332,12.53,3.06,161.52,0,0,0,0,1,$857^{+278}_{-268}$,$> 144$,$10\pm22$,\checkmark,Yes
8612275,K02111.01,Kepler-360 b,CONFIRMED,5501,10.10,1.40,3.29,0,0,0,0,1,$858^{+79}_{-76}$,$> 391$,$32\pm14$,\checkmark,Yes
8612275,K02111.02,Kepler-360 c,CONFIRMED,5501,10.10,2.24,7.19,0,1,0,4,1,$858^{+79}_{-76}$,$> 391$,$32\pm14$,,Yes
5688683,K04097.01,Kepler-1939 b,CONFIRMED,4300,12.70,1.05,2.79,1,0,128,0,1,$869^{+280}_{-270}$,$> 148$,$12\pm11$,,Yes
7659389,K02734.01,Kepler-1872 b,CONFIRMED,4972,10.61,2.94,3.83,0,1,0,4,0,$873^{+138}_{-162}$,--,--,,--
4473613,K04803.01,Kepler-1623 b,CONFIRMED,5440,10.25,1.22,4.36,0,0,0,0,0,$875^{+79}_{-78}$,--,--,,--
6879171,K04188.01,Kepler-1947 b,CONFIRMED,5634,10.09,0.87,6.96,0,0,0,0,1,$893^{+107}_{-86}$,$> 301$,$44\pm5$,\checkmark,Yes
7610663,K04160.01,Kepler-1560 b,CONFIRMED,5536,10.32,0.87,3.03,0,0,0,0,1,$895^{+82}_{-78}$,$> 579$,$22\pm5$,\checkmark,Yes
