kepid,kepoi_name,kepler_name,koi_disposition,adopted_Teff,adopted_Teff_err,adopted_Teff_provenance,Prot,Prot_err,Prot_provenance,li_eagles_LiEW,li_eagles_eLiEW,gyro_median,gyro_+1sigma,gyro_-1sigma,li_median,li_+1sigma,li_-1sigma,adopted_rp,adopted_rp_provenance,adopted_period,flag_gyro_quality,flag_planet_quality,has_hires,t_gyro,t_li,are_gyro_and_li_consistent
4914423,K00108.02,Kepler-103 c,CONFIRMED,6382,122,2020AJ....159..280B,nan,nan,,32,2,,,,,,,5.46,2022AJ....163..179P,179.61,5,0,1,--,$> 99$,--
10795103,K03683.01,Kepler-1515 b,CONFIRMED,6310,137,2020AJ....159..280B,6.79,0.07,2021ApJS..255...17S,-13,4,,,,,,,10.44,2022AJ....163..179P,214.31,7,0,1,--,$> 99$,--
10063802,K01888.01,Kepler-1000 b,CONFIRMED,6498,130,2020AJ....159..280B,nan,nan,,0,9,,,,,,,5.44,2022AJ....163..179P,120.02,7,0,1,--,$> 100$,--
10227020,K00730.04,Kepler-223 b,CONFIRMED,5947,117,2020AJ....159..280B,nan,nan,,54,33,,,,,,,2.8,2020AJ....160..108B,7.38,518,0,1,--,$> 101$,--
10227020,K00730.02,Kepler-223 c,CONFIRMED,5947,117,2020AJ....159..280B,nan,nan,,54,33,,,,,,,3.11,2020AJ....160..108B,9.85,518,0,1,--,$> 101$,--
10227020,K00730.01,Kepler-223 d,CONFIRMED,5947,117,2020AJ....159..280B,nan,nan,,54,33,,,,,,,4.0,2020AJ....160..108B,14.79,518,0,1,--,$> 101$,--
10227020,K00730.03,Kepler-223 e,CONFIRMED,5947,117,2020AJ....159..280B,nan,nan,,54,33,,,,,,,4.14,2020AJ....160..108B,19.72,518,4,1,--,$> 101$,--
7021681,K00255.01,Kepler-505 b,CONFIRMED,4066,76,2020AJ....159..280B,nan,nan,,10,20,,,,,,,3.07,2020AJ....160..108B,27.52,256,0,1,--,$> 101$,--
11811193,K02260.01,Kepler-1163 b,CONFIRMED,6338,128,2020AJ....159..280B,nan,nan,,34,3,,,,,,,1.05,2022AJ....163..179P,6.12,5,0,1,--,$> 102$,--
8494142,K00370.02,Kepler-145 b,CONFIRMED,6429,131,2020AJ....159..280B,nan,nan,,27,2,,,,,,,2.16,2022AJ....163..179P,22.95,7,0,1,--,$> 105$,--
8494142,K00370.01,Kepler-145 c,CONFIRMED,6429,131,2020AJ....159..280B,nan,nan,,27,2,,,,,,,3.83,2022AJ....163..179P,42.88,7,0,1,--,$> 105$,--
6599975,K03438.01,Kepler-1501 b,CONFIRMED,6271,114,2020AJ....159..280B,nan,nan,,38,3,,,,,,,1.15,2022AJ....163..179P,14.56,1,0,1,--,$> 106$,--
8235924,K02347.01,Kepler-1203 b,CONFIRMED,4192,75,2020AJ....159..280B,nan,nan,,19,23,,,,,,,1.18,2020AJ....160..108B,0.59,512,0,1,--,$> 107$,--
8212002,K02593.01,Kepler-1285 b,CONFIRMED,6285,124,2020AJ....159..280B,8.59,0.09,2021ApJS..255...17S,37,3,,,,,,,1.12,2022AJ....163..179P,14.8,5,0,1,--,$> 107$,--
3098810,K01878.01,Kepler-1773 b,CONFIRMED,6358,124,2020AJ....159..280B,8.94,0.09,2021ApJS..255...17S,32,3,,,,,,,2.86,2022AJ....163..179P,40.81,5,4,1,--,$> 107$,--
8151055,K03298.01,Kepler-1460 b,CONFIRMED,4404,79,2020AJ....159..280B,nan,nan,,36,21,,,,,,,1.95,2022AJ....163..179P,29.96,0,4,1,--,$> 108$,--
9757613,K00250.01,Kepler-26 b,CONFIRMED,4124,55,2020AJ....159..280B,nan,nan,,-8,34,,,,,,,3.19,2022AJ....163..179P,12.28,0,0,1,--,$> 108$,--
9757613,K00250.02,Kepler-26 c,CONFIRMED,4124,55,2020AJ....159..280B,nan,nan,,-8,34,,,,,,,2.75,2022AJ....163..179P,17.25,0,0,1,--,$> 108$,--
9757613,K00250.03,Kepler-26 d,CONFIRMED,4124,55,2020AJ....159..280B,nan,nan,,-8,34,,,,,,,1.37,2022AJ....163..179P,3.54,0,0,1,--,$> 108$,--
9757613,K00250.04,Kepler-26 e,CONFIRMED,4124,55,2020AJ....159..280B,nan,nan,,-8,34,,,,,,,2.38,2022AJ....163..179P,46.83,0,0,1,--,$> 108$,--
3867615,K02289.02,Kepler-379 b,CONFIRMED,6167,121,2020AJ....159..280B,nan,nan,,44,4,,,,,,,1.63,2022AJ....163..179P,20.1,0,0,1,--,$> 108$,--
3867615,K02289.01,Kepler-379 c,CONFIRMED,6167,121,2020AJ....159..280B,nan,nan,,44,4,,,,,,,2.34,2022AJ....163..179P,62.78,0,0,1,--,$> 108$,--
3852655,K03002.01,Kepler-1406 b,CONFIRMED,6377,135,2020AJ....159..280B,nan,nan,,29,7,,,,,,,1.31,10.26133/NEA4,11.63,135,4,1,--,$> 109$,--
8219268,K02133.01,Kepler-91 b,CONFIRMED,4672,81,2020AJ....159..280B,nan,nan,,38,8,,,,,,,15.09,2020AJ....160..108B,6.25,518,4,1,--,$> 109$,--
9003401,K02319.01,Kepler-1823 b,CONFIRMED,6188,112,2020AJ....159..280B,nan,nan,,43,3,,,,,,,1.72,2022AJ....163..179P,21.1,0,0,1,--,$> 111$,--
6058816,K03500.01,Kepler-1927 b,CONFIRMED,6191,126,2020AJ....159..280B,nan,nan,,42,5,,,,,,,3.2,2022AJ....163..179P,73.75,518,0,1,--,$> 112$,--
