kepid,kepoi_name,kepler_name,koi_disposition,adopted_Teff,adopted_Teff_err,adopted_Teff_provenance,Prot,Prot_err,Prot_provenance,li_eagles_LiEW,li_eagles_eLiEW,gyro_median,gyro_+1sigma,gyro_-1sigma,gyro_+2sigma,gyro_-2sigma,li_median,li_+1sigma,li_-1sigma,adopted_rp,adopted_rp_provenance,adopted_period,flag_gyro_quality,flag_planet_quality,has_hires,t_gyro,t_li,are_gyro_and_li_consistent
3425851,K00268.01,,CANDIDATE,5942,103,2020AJ....159..280B,7.87,0.08,2013ApJ...775L..11M,-9,11,1000,726,292,1557,417,,,,3.37,2020AJ....160..108B,110.38,4614,0,1,$1000^{+726}_{-292}$,$> 671$,Yes
6975129,K01628.03,,CANDIDATE,6325,139,2020AJ....159..280B,5.64,0.06,2021ApJS..255...17S,71,5,,,,,,1028,1830,723,2.57,2020AJ....160..108B,37.84,7,0,1,--,$1028^{+1830}_{-723}$,--
6697605,K02851.02,,CANDIDATE,5370,75,2021ApJS..255...17S,11.29,0.11,2021ApJS..255...17S,,,1034,83,81,171,162,,,,1.5,10.26133/NEA4,1.24,512,4,0,$1034^{+83}_{-81}$,--,--
4851530,K01884.01,,CANDIDATE,5313,106,2020AJ....159..280B,11.29,0.11,2021ApJS..255...17S,,,1040,85,85,176,172,,,,4.37,10.26133/NEA4,23.12,0,4,0,$1040^{+85}_{-85}$,--,--
4851530,K01884.02,,CANDIDATE,5313,106,2020AJ....159..280B,11.29,0.11,2021ApJS..255...17S,,,1040,85,85,176,172,,,,1.73,10.26133/NEA4,4.78,0,0,0,$1040^{+85}_{-85}$,--,--
5898983,K03422.01,,CANDIDATE,5825,107,2020AJ....159..280B,9.68,0.10,2021ApJS..255...17S,66,3,1062,503,202,1323,317,1440,1830,820,1.92,2020AJ....160..108B,40.15,0,0,1,$1062^{+503}_{-202}$,$1440^{+1830}_{-820}$,Yes
4846856,K02900.01,,CANDIDATE,5323,100,2020AJ....159..280B,11.45,0.11,2021ApJS..255...17S,,,1064,85,83,177,168,,,,2.09,2020AJ....160..108B,46.15,256,0,0,$1064^{+85}_{-83}$,--,--
7093401,K03433.01,,CANDIDATE,5202,130,2020AJ....159..280B,11.53,0.12,2021ApJS..255...17S,,,1089,91,92,188,197,,,,36.05,10.26133/NEA4,34.08,642,4,0,$1089^{+91}_{-92}$,--,--
9776794,K04363.01,,CANDIDATE,4965,97,2020AJ....159..280B,11.61,0.12,2019ApJS..244...21S,,,1109,108,137,212,346,,,,6.81,2020AJ....160..108B,18.22,512,4,0,$1109^{+108}_{-137}$,--,--
1721157,K04644.01,,CANDIDATE,4917,88,2020AJ....159..280B,11.69,0.12,2019ApJS..244...21S,,,1120,113,152,219,376,,,,1.16,2020AJ....160..108B,3.45,0,0,0,$1120^{+113}_{-152}$,--,--
7335514,K06860.01,,CANDIDATE,4405,76,2020AJ....159..280B,13.15,0.13,2019ApJS..244...21S,12,8,1161,212,355,382,583,,,,0.41,2022AJ....163..179P,0.58,0,0,1,$1161^{+212}_{-355}$,$> 164$,Yes
5184911,K02719.02,,CANDIDATE,4601,82,2020AJ....159..280B,12.53,0.13,2019ApJS..244...21S,16,15,1165,165,307,298,545,,,,1.28,2022AJ....163..179P,106.26,0,0,1,$1165^{+165}_{-307}$,$> 180$,Yes
